periodo,universidad,programa,facultad,nivel,estrato,sexo,departamento,total_matriculados,total_graduados
2018-1,UNAL,Biología,Escuela de pregrado,Pregrado,Estrato 1,Hombres,ANTIOQUIA,0.0,0.0
2018-1,UNAL,Biología,Escuela de pregrado,Pregrado,Estrato 2,Mujeres,CUNDINAMARCA,0.0,0.0
2018-1,UNAL,Biología,Escuela de pregrado,Postgrado,Estrato 3,Hombres,VALLE DEL CAUCA,0.0,0.0
2018-1,UNAL,Biología,Escuela de pregrado,Postgrado,Estrato 4,Mujeres,BOYACÁ,0.0,0.0
2018-2,UNAL,Biología,Escuela de pregrado,Pregrado,Estrato 1,Hombres,ANTIOQUIA,0.0,0.0
2018-2,UNAL,Biología,Escuela de pregrado,Pregrado,Estrato 2,Mujeres,CUNDINAMARCA,0.0,0.0
2018-2,UNAL,Biología,Escuela de pregrado,Postgrado,Estrato 3,Hombres,VALLE DEL CAUCA,0.0,0.0
2018-2,UNAL,Biología,Escuela de pregrado,Postgrado,Estrato 4,Mujeres,BOYACÁ,0.0,0.0
2019-1,UNAL,Biología,Escuela de pregrado,Pregrado,Estrato 1,Hombres,ANTIOQUIA,7.4904,0.0
2019-1,UNAL,Biología,Escuela de pregrado,Pregrado,Estrato 2,Mujeres,CUNDINAMARCA,7.1967,0.0
2019-1,UNAL,Biología,Escuela de pregrado,Postgrado,Estrato 3,Hombres,VALLE DEL CAUCA,1.0214,0.0
2019-1,UNAL,Biología,Escuela de pregrado,Postgrado,Estrato 4,Mujeres,BOYACÁ,0.9814,0.0
2019-2,UNAL,Biología,Escuela de pregrado,Pregrado,Estrato 1,Hombres,ANTIOQUIA,7.6886,0.0
2019-2,UNAL,Biología,Escuela de pregrado,Pregrado,Estrato 2,Mujeres,CUNDINAMARCA,7.3871,0.0
2019-2,UNAL,Biología,Escuela de pregrado,Postgrado,Estrato 3,Hombres,VALLE DEL CAUCA,1.0485,0.0
2019-2,UNAL,Biología,Escuela de pregrado,Postgrado,Estrato 4,Mujeres,BOYACÁ,1.0073,0.0
2020-1,UNAL,Biología,Escuela de pregrado,Pregrado,Estrato 1,Hombres,ANTIOQUIA,6.1732,0.0
2020-1,UNAL,Biología,Escuela de pregrado,Pregrado,Estrato 2,Mujeres,CUNDINAMARCA,5.9311,0.0
