anio,universidad,estado_estudiante,programa,facultad,nivel,estrato,sexo,departamento,cantidad_real,_dataset_id,_dataset_nombre,tipoestudiante
2018,UNAL,Graduado,Animación,Artes,Especialización,Sin información,Hombres,"BOGOTÁ, D. C.",1,3j5e-x7c4,graduados_unal,
2018,UNAL,Graduado,Diseño y desarrollo del producto,Artes,Especialización,Sin información,Mujeres,"BOGOTÁ, D. C.",1,3j5e-x7c4,graduados_unal,
2018,UNAL,Graduado,Diseño y desarrollo del producto,Artes,Especialización,Sin información,Hombres,"BOGOTÁ, D. C.",1,3j5e-x7c4,graduados_unal,
2018,UNAL,Graduado,Diseño y desarrollo del producto,Artes,Especialización,Sin información,Hombres,BOYACÁ,1,3j5e-x7c4,graduados_unal,
2018,UNAL,Graduado,Diseño y desarrollo del producto,Artes,Especialización,Sin información,Hombres,"BOGOTÁ, D. C.",1,3j5e-x7c4,graduados_unal,
2018,UNAL,Graduado,Estudios amazónicos,Amazonia,Especialización,Sin información,Hombres,ANTIOQUIA,1,3j5e-x7c4,graduados_unal,
2018,UNAL,Graduado,Estudios amazónicos,Amazonia,Maestría,Sin información,Hombres,"BOGOTÁ, D. C.",1,3j5e-x7c4,graduados_unal,
2018,UNAL,Graduado,Pedagogía del diseño,Artes,Especialización,Sin información,Hombres,"BOGOTÁ, D. C.",1,3j5e-x7c4,graduados_unal,
2018,UNAL,Graduado,Pedagogía del diseño,Artes,Especialización,Sin información,Hombres,BOYACÁ,1,3j5e-x7c4,graduados_unal,
2018,UNAL,Graduado,Pedagogía del diseño,Artes,Especialización,Sin información,Mujeres,"BOGOTÁ, D. C.",1,3j5e-x7c4,graduados_unal,
2018,UNAL,Graduado,Pedagogía del diseño,Artes,Especialización,Sin información,Hombres,"BOGOTÁ, D. C.",1,3j5e-x7c4,graduados_unal,
2018,UNAL,Graduado,Pedagogía del diseño,Artes,Especialización,Sin información,Hombres,CAQUETÁ,1,3j5e-x7c4,graduados_unal,
2018,UNAL,Graduado,Pedagogía del diseño,Artes,Especialización,Sin información,Hombres,CUNDINAMARCA,1,3j5e-x7c4,graduados_unal,
2018,UNAL,Graduado,Pedagogía del diseño,Artes,Especialización,Sin información,Hombres,"BOGOTÁ, D. C.",1,3j5e-x7c4,graduados_unal,
2018,UNAL,Graduado,Pedagogía del diseño,Artes,Especialización,Sin información,Hombres,"BOGOTÁ, D. C.",1,3j5e-x7c4,graduados_unal,
2018,UNAL,Graduado,Pedagogía del diseño,Artes,Especialización,Sin información,Hombres,"BOGOTÁ, D. C.",1,3j5e-x7c4,graduados_unal,
2018,UNAL,Graduado,Pedagogía del diseño,Artes,Especialización,Sin información,Mujeres,"BOGOTÁ, D. C.",1,3j5e-x7c4,graduados_unal,
2018,UNAL,Graduado,Pedagogía del diseño,Artes,Especialización,Sin información,Hombres,ANTIOQUIA,1,3j5e-x7c4,graduados_unal,
2019,UNAL,Matriculado,Derecho,"Derecho, ciencias políticas y sociales",Pregrado,Estrato 4,Mujeres,CUNDINAMARCA,1,5pqr-ifsd,matriculados_unal,
2019,UNAL,Matriculado,Derecho,"Derecho, ciencias políticas y sociales",Pregrado,Estrato 3,Hombres,"BOGOTÁ, D. C.",1,5pqr-ifsd,matriculados_unal,
2019,UNAL,Matriculado,Economía,Ciencias económicas,Pregrado,Estrato 2,Hombres,"BOGOTÁ, D. C.",1,5pqr-ifsd,matriculados_unal,
2019,UNAL,Matriculado,Economía,Ciencias económicas,Pregrado,Estrato 3,Mujeres,"BOGOTÁ, D. C.",1,5pqr-ifsd,matriculados_unal,
2019,UNAL,Matriculado,Ingeniería agrícola,Ingeniería,Pregrado,Estrato 3,Hombres,"BOGOTÁ, D. C.",1,5pqr-ifsd,matriculados_unal,
2019,UNAL,Matriculado,Ingeniería agrícola,Ingeniería,Pregrado,Estrato 2,Mujeres,META,1,5pqr-ifsd,matriculados_unal,
2019,UNAL,Matriculado,Ingeniería civil,Ingeniería,Pregrado,Estrato 3,Mujeres,"BOGOTÁ, D. C.",1,5pqr-ifsd,matriculados_unal,
