anio,universidad,programa,facultad,nivel,estrato,sexo,departamento,total_matriculados,total_graduados,tasa_graduacion,balance_matricula_menos_graduacion,hay_matricula,hay_graduacion,hay_matricula_y_graduacion,alerta_graduados_superan_matricula
2018,UNAL,Animación,Artes,Especialización,Sin información,Hombres,"BOGOTÁ, D. C.",0,1,0.0,-1,false,true,false,false
2018,UNAL,Diseño y desarrollo del producto,Artes,Especialización,Sin información,Hombres,"BOGOTÁ, D. C.",0,2,0.0,-2,false,true,false,false
2018,UNAL,Diseño y desarrollo del producto,Artes,Especialización,Sin información,Hombres,BOYACÁ,0,1,0.0,-1,false,true,false,false
2018,UNAL,Diseño y desarrollo del producto,Artes,Especialización,Sin información,Mujeres,"BOGOTÁ, D. C.",0,1,0.0,-1,false,true,false,false
2018,UNAL,Estudios amazónicos,Amazonia,Especialización,Sin información,Hombres,ANTIOQUIA,0,1,0.0,-1,false,true,false,false
2018,UNAL,Estudios amazónicos,Amazonia,Maestría,Sin información,Hombres,"BOGOTÁ, D. C.",0,1,0.0,-1,false,true,false,false
2018,UNAL,Pedagogía del diseño,Artes,Especialización,Sin información,Hombres,ANTIOQUIA,0,1,0.0,-1,false,true,false,false
2018,UNAL,Pedagogía del diseño,Artes,Especialización,Sin información,Hombres,CUNDINAMARCA,0,1,0.0,-1,false,true,false,false
2018,UNAL,Pedagogía del diseño,Artes,Especialización,Sin información,Hombres,BOYACÁ,0,1,0.0,-1,false,true,false,false
2018,UNAL,Pedagogía del diseño,Artes,Especialización,Sin información,Hombres,CAQUETÁ,0,1,0.0,-1,false,true,false,false
2018,UNAL,Pedagogía del diseño,Artes,Especialización,Sin información,Mujeres,"BOGOTÁ, D. C.",0,2,0.0,-2,false,true,false,false
2018,UNAL,Pedagogía del diseño,Artes,Especialización,Sin información,Hombres,"BOGOTÁ, D. C.",0,5,0.0,-5,false,true,false,false
2019,UNAL,Derecho,"Derecho, ciencias políticas y sociales",Pregrado,Estrato 4,Mujeres,CUNDINAMARCA,1,0,0.0,1,true,false,false,false
2019,UNAL,Derecho,"Derecho, ciencias políticas y sociales",Pregrado,Estrato 3,Hombres,"BOGOTÁ, D. C.",1,0,0.0,1,true,false,false,false
2019,UNAL,Economía,Ciencias económicas,Pregrado,Estrato 2,Hombres,"BOGOTÁ, D. C.",1,0,0.0,1,true,false,false,false
